text,label
I hate how inaccurate suggestions are.,negative
I have mixed feelings about Copilot.,neutral
Copilot suggestion was okay.,neutral
Worst AI assistant ever.,negative
So frustrating when Copilot crashes.,negative
I hate how inaccurate suggestions are.,negative
Not sure what to think about Copilot.,neutral
So frustrating when Copilot crashes.,negative
I have mixed feelings about Copilot.,neutral
I love using Copilot during my coding sessions!,positive
Copilot suggestion was okay.,neutral
Copilot gave me totally wrong code.,negative
"Amazing tool, boosts my productivity.",positive
Copilot gave me totally wrong code.,negative
So frustrating when Copilot crashes.,negative
Not sure what to think about Copilot.,neutral
Copilot gave me totally wrong code.,negative
Copilot is average at best.,neutral
I love using Copilot during my coding sessions!,positive
So frustrating when Copilot crashes.,negative
I hate how inaccurate suggestions are.,negative
I love using Copilot during my coding sessions!,positive
I hate how inaccurate suggestions are.,negative
I love using Copilot during my coding sessions!,positive
Not sure what to think about Copilot.,neutral
So frustrating when Copilot crashes.,negative
"Amazing tool, boosts my productivity.",positive
"Amazing tool, boosts my productivity.",positive
I love using Copilot during my coding sessions!,positive
Copilot gave me totally wrong code.,negative
Copilot saves me so much time.,positive
Copilot gave me totally wrong code.,negative
Feels like having a coding companion.,positive
Copilot suggestion was okay.,neutral
Feels like having a coding companion.,positive
Copilot suggestion was okay.,neutral
Worst AI assistant ever.,negative
Copilot saves me so much time.,positive
I have mixed feelings about Copilot.,neutral
I have mixed feelings about Copilot.,neutral
So frustrating when Copilot crashes.,negative
I hate how inaccurate suggestions are.,negative
I have mixed feelings about Copilot.,neutral
I have mixed feelings about Copilot.,neutral
"Amazing tool, boosts my productivity.",positive
I hate how inaccurate suggestions are.,negative
I hate how inaccurate suggestions are.,negative
Worst AI assistant ever.,negative
Copilot gave me totally wrong code.,negative
Copilot saves me so much time.,positive
Copilot saves me so much time.,positive
Feels like having a coding companion.,positive
I have mixed feelings about Copilot.,neutral
"Amazing tool, boosts my productivity.",positive
Copilot saves me so much time.,positive
So frustrating when Copilot crashes.,negative
Copilot saves me so much time.,positive
I hate how inaccurate suggestions are.,negative
Copilot is average at best.,neutral
"Amazing tool, boosts my productivity.",positive
I have mixed feelings about Copilot.,neutral
Copilot suggestion was okay.,neutral
Not sure what to think about Copilot.,neutral
Not sure what to think about Copilot.,neutral
I hate how inaccurate suggestions are.,negative
Feels like having a coding companion.,positive
Copilot gave me totally wrong code.,negative
Copilot saves me so much time.,positive
I hate how inaccurate suggestions are.,negative
"Amazing tool, boosts my productivity.",positive
"Amazing tool, boosts my productivity.",positive
Copilot is average at best.,neutral
Worst AI assistant ever.,negative
So frustrating when Copilot crashes.,negative
Copilot gave me totally wrong code.,negative
Copilot gave me totally wrong code.,negative
I hate how inaccurate suggestions are.,negative
Copilot saves me so much time.,positive
Not sure what to think about Copilot.,neutral
Copilot gave me totally wrong code.,negative
I have mixed feelings about Copilot.,neutral
Copilot gave me totally wrong code.,negative
I hate how inaccurate suggestions are.,negative
I have mixed feelings about Copilot.,neutral
Not sure what to think about Copilot.,neutral
Copilot suggestion was okay.,neutral
Feels like having a coding companion.,positive
I hate how inaccurate suggestions are.,negative
Copilot suggestion was okay.,neutral
Copilot saves me so much time.,positive
"Amazing tool, boosts my productivity.",positive
Copilot saves me so much time.,positive
So frustrating when Copilot crashes.,negative
I hate how inaccurate suggestions are.,negative
Not sure what to think about Copilot.,neutral
Copilot gave me totally wrong code.,negative
I love using Copilot during my coding sessions!,positive
Copilot gave me totally wrong code.,negative
Worst AI assistant ever.,negative
"Amazing tool, boosts my productivity.",positive
I hate how inaccurate suggestions are.,negative
Copilot saves me so much time.,positive
Copilot gave me totally wrong code.,negative
Copilot saves me so much time.,positive
Copilot is average at best.,neutral
Copilot suggestion was okay.,neutral
"Amazing tool, boosts my productivity.",positive
Copilot is average at best.,neutral
Worst AI assistant ever.,negative
"Amazing tool, boosts my productivity.",positive
Feels like having a coding companion.,positive
I love using Copilot during my coding sessions!,positive
Worst AI assistant ever.,negative
Copilot saves me so much time.,positive
Copilot suggestion was okay.,neutral
Copilot is average at best.,neutral
I love using Copilot during my coding sessions!,positive
So frustrating when Copilot crashes.,negative
Feels like having a coding companion.,positive
Copilot gave me totally wrong code.,negative
Worst AI assistant ever.,negative
Copilot gave me totally wrong code.,negative
Copilot is average at best.,neutral
I love using Copilot during my coding sessions!,positive
Feels like having a coding companion.,positive
Copilot saves me so much time.,positive
So frustrating when Copilot crashes.,negative
I hate how inaccurate suggestions are.,negative
Feels like having a coding companion.,positive
Copilot is average at best.,neutral
So frustrating when Copilot crashes.,negative
"Amazing tool, boosts my productivity.",positive
"Amazing tool, boosts my productivity.",positive
I hate how inaccurate suggestions are.,negative
Copilot is average at best.,neutral
So frustrating when Copilot crashes.,negative
So frustrating when Copilot crashes.,negative
Copilot gave me totally wrong code.,negative
I have mixed feelings about Copilot.,neutral
So frustrating when Copilot crashes.,negative
Worst AI assistant ever.,negative
I hate how inaccurate suggestions are.,negative
Not sure what to think about Copilot.,neutral
Copilot suggestion was okay.,neutral
Copilot is average at best.,neutral
"Amazing tool, boosts my productivity.",positive
