text,label,clean_text
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
Copilot suggestion was okay.,neutral,copilot suggestion okay
Worst AI assistant ever.,negative,worst ai assistant ever
So frustrating when Copilot crashes.,negative,frustrating copilot crash
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Not sure what to think about Copilot.,neutral,sure think copilot
So frustrating when Copilot crashes.,negative,frustrating copilot crash
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
I love using Copilot during my coding sessions!,positive,love using copilot coding session
Copilot suggestion was okay.,neutral,copilot suggestion okay
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
So frustrating when Copilot crashes.,negative,frustrating copilot crash
Not sure what to think about Copilot.,neutral,sure think copilot
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Copilot is average at best.,neutral,copilot average best
I love using Copilot during my coding sessions!,positive,love using copilot coding session
So frustrating when Copilot crashes.,negative,frustrating copilot crash
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I love using Copilot during my coding sessions!,positive,love using copilot coding session
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I love using Copilot during my coding sessions!,positive,love using copilot coding session
Not sure what to think about Copilot.,neutral,sure think copilot
So frustrating when Copilot crashes.,negative,frustrating copilot crash
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
I love using Copilot during my coding sessions!,positive,love using copilot coding session
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Copilot saves me so much time.,positive,copilot save much time
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Feels like having a coding companion.,positive,feel like coding companion
Copilot suggestion was okay.,neutral,copilot suggestion okay
Feels like having a coding companion.,positive,feel like coding companion
Copilot suggestion was okay.,neutral,copilot suggestion okay
Worst AI assistant ever.,negative,worst ai assistant ever
Copilot saves me so much time.,positive,copilot save much time
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
So frustrating when Copilot crashes.,negative,frustrating copilot crash
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Worst AI assistant ever.,negative,worst ai assistant ever
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Copilot saves me so much time.,positive,copilot save much time
Copilot saves me so much time.,positive,copilot save much time
Feels like having a coding companion.,positive,feel like coding companion
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
Copilot saves me so much time.,positive,copilot save much time
So frustrating when Copilot crashes.,negative,frustrating copilot crash
Copilot saves me so much time.,positive,copilot save much time
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Copilot is average at best.,neutral,copilot average best
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
Copilot suggestion was okay.,neutral,copilot suggestion okay
Not sure what to think about Copilot.,neutral,sure think copilot
Not sure what to think about Copilot.,neutral,sure think copilot
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Feels like having a coding companion.,positive,feel like coding companion
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Copilot saves me so much time.,positive,copilot save much time
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
Copilot is average at best.,neutral,copilot average best
Worst AI assistant ever.,negative,worst ai assistant ever
So frustrating when Copilot crashes.,negative,frustrating copilot crash
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Copilot saves me so much time.,positive,copilot save much time
Not sure what to think about Copilot.,neutral,sure think copilot
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
I have mixed feelings about Copilot.,neutral,mixed feeling copilot
Not sure what to think about Copilot.,neutral,sure think copilot
Copilot suggestion was okay.,neutral,copilot suggestion okay
Feels like having a coding companion.,positive,feel like coding companion
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Copilot suggestion was okay.,neutral,copilot suggestion okay
Copilot saves me so much time.,positive,copilot save much time
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
Copilot saves me so much time.,positive,copilot save much time
So frustrating when Copilot crashes.,negative,frustrating copilot crash
I hate how inaccurate suggestions are.,negative,hate inaccurate suggestion
Not sure what to think about Copilot.,neutral,sure think copilot
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
I love using Copilot during my coding sessions!,positive,love using copilot coding session
Copilot gave me totally wrong code.,negative,copilot gave totally wrong code
Worst AI assistant ever.,negative,worst ai assistant ever
"Amazing tool, boosts my productivity.",positive,amazing tool boost productivity
